id,name,monthly_payment,estimated_terms,estimated_amount,report_to,payment_terms,description,terms
35,U.S. Lock,-,-,-,Experian Business,-,"The U.S. Lock brand markets security hardware. access control. automotive and safes to security professionals. They have 100+ national name brand manufacturers as well as its own exclusive. private-label line of security hardware products. Approval Requirements: Before beginning this application. please pull together the following information: General Information on Your Business (Address. phone and fax numbers. and e-mail address). Trade References (Four of your main suppliers and their addresses and phone numbers). Bank Reference (Name of bank. account number. and address and phone number.

U.S. Lock. the trusted wholesale distributor of choice to security professionals nationwide. sells only to licensed security professionals. If you are a security professional and would like to open an account with U.S. Lock. call them at 1-800-925-5000. Option 3.

You must complete a credit application before they can sell to you. The application is linked below or you may complete the application found in their most recent Catalog.

Ideally your company should have an existing Experian Business Credit file with 70+ Intelliscore for max credit limit approval. Beginning approvals receive a $1.000 credit limit with more expected if you have an established Experian Business Credit report.

",-
34,Barnett Pro Contractor Supplies,-,-,-,Experian Business,-," The Barnett brand's main customer base are professional plumbing. electrical. HVAC and building contractors. Barnett functions as a wholesaler with a cost structure similar to that of a manufacturer because of its ability to import high-quality products at a very low cost. Barnett sells major brand names. but also offers its own private label alternatives at lower price points which is ideal for contractors. Approval Requirements: Before beginning this application. please pull together the following information: General Information on Your Business (Address. phone and fax numbers. and e-mail address). Trade References (Four of your main suppliers and their addresses and phone numbers). Bank Reference (Name of bank. account number. and address and phone number.

Barnett. industry's leading business-to-business marketer and distributor. sells only to licensed businesses or licensed contractors. If you would like to open an account with Barnett. you may complete the following application. or you may call us at 1-800-288-2000 and provide the information to a representative. You may also complete the application found in either our catalog or sales flyers and fax it to 1-800-333-3600.

You must complete a credit application before they can sell to you. The application is linked below or you may complete the application found in their most recent Catalog.

Ideally your company should have an existing Experian Business Credit file with 70+ Intelliscore for max credit limit approval. Beginning approvals receive a $1.000 credit limit with more expected if you have an established Experian Business Credit report.

",-
33,Grainger Industrial Supply,-,-,-,D&B quarterly,-,"Grainger works with more than 1.300 suppliers to provide customers with: electrical. fasteners. fleet maintenance. HVACR. hardware. janitorial. material handling. pneumatics. power tools. pumps. and much more. Approval Requirements: Grainger will approve almost every business with a business license that applies for credit with credit limits starting at $1.000. If you want more than a $1.000 limit than you will need to supply trade and bank references. To apply first complete the registration on their web site to apply or you can apply directly over the phone. To get a line of credit you'll need to supply your company's EIN number which they'll verify or you can supply a copy of a business check or business license. Upon verifying one of the pieces of information an account rep will contact you usually within 30 minutes.

",-
32,Altex Computers & Electronics,-,-,-,Dun & Bradstreet,-,"Altex Computers & Electronics has been offering quality off-the-shelf computer and networking equipment to both their local and national customer base since 1980. Approval Requirements: They look for businesses to be in business for at least a year. requires 4 trade references with a year of solid payment history and a D-U-N-S Number.

",-
31, Crucial Technology,-,-,-,Dun & Bradstreet,-,"Crucial is an online source for OEM-quality. memory upgrades direct from the manufacturer. They also provide Flash Cards. USB Drives. Solid State Drives. and Performance DRAM. Approval Requirements: Initial purchase must be $2.000 or more to get net 30 credit terms from this vendor. Once you have a line of credit with this vendor you are required to make a small purchase at least once every three months to keep your account active and open.

Purchase orders require the following information: Billing address. shipping address. vendor information. purchase order number. total dollar amount of order. including freight and sales tax. if applicable - payment terms per contractual agreement. shipping terms and name and contact information of the buyer authorizing signature.

",-
30,DataPro,-,-,-,Dun & Bradstreet,-,"DataPro provides small and medium-sized businesses access to computer equipment such as cables. keyboard & mouse products. machining services. video electronics and more. Approval Requirements: Net 30 terms are granted to government agencies. accredited universities. medical facilities. and public schools by request. Corporations and individuals can apply for Net 30 terms by submitting a Credit Application (PDF app below). We require either a D&B number or credit card to keep on file as an alternate payment method.

",-
29,Sprint Business,-,-,-,N/A (Can be used as a trade reference),-,"Sprint offers companies access to business cell phones. wireless devices and wireline communication services. along with Sprint's wireless network. Approval Requirements: Sprint requires a company to supply its EIN number. They will verify your 411 listing and check your business credit report. To get approved your business needs to have existing credit history with all three agencies. Without business credit files established then you'll need to supply personal information along with business details.

",-
28,TigerDirect,-,-,-,N/A (Can be used as a trade reference),-,"TigerDirect is an online provider for everything electronic. office and digital: Computers. Components. Communications. Camcorders. Hard Drives. Laptops. Keyboards. Plasma TV's. Power Supply. Printers. Scanners. Projectors. and much more. Approval Requirements: To qualify for an Open Account. you must be in business and have a bank account for at least 1 year. be listed with Dun & Bradstreet or have 3 trade references (don't need to be reporting references). It's recommended you have a D-U-N-S Number to apply. 

",-
27,Wav Wireless Outfitters,-,-,-,N/A (Can be used as a trade reference),-,"Wav Wireless Outfitters supplies broadband. networking. WLAN. mobile and rugged computerizing. data collection. and RFID services. WAV is a wireless outfitter for all your project needs. With their sales engineers and technically savvy sales staff. WAV can not only supply all the necessary gear you need to provide end-to-end wireless solutions. but also the subject matter expert to assist you with RF design. site survey. installation. etc. Approval Requirements: Fill out and fax in the application in the link below or download the application in the downloads section. They will usually pull credit from Dun & Bradstreet. They only require a guarantor on certain cases. so it depends on the state of your business and business credit ratings.

",-
26,Touchboards,-,-,-,Dun & Bradstreet,-,"Authorized manufacturer / distributor of major brands of test equipment. interactive whiteboards. overhead projectors. and technology products. Approval Requirements: Must provide a D-U-N-S Number and company EIN. You must supply 4 trade references and 1 bank reference to apply. To apply submit your application online with a copy of your bank and trade references to them via fax. 732-222-7088 or email. orders@touchboards.com. Please allow 5-7 business days for your application to be completed.

Normally the process for credit approval takes about 10-14 business days depending on how quickly your references get back to them.

",-
25,NewEggBusiness,-,-,-,Dun & Bradstreet,-,"NewEgg Business has more than 10.5 million products and an award-winning website. It serves technology enthusiasts and mainstream e-shoppers all across the country. Approval Requirements: Apply online. It takes approximately 5-10 business days for processing. You will receive a decision letter once the review process is complete. If for any reason they have questions about the application they will contact the primary account holder.

",-
24,Print Country,-,-,-,Dun & Bradstreet,-,Print Country is a one stop shop for your printing needs. To add more to your shopping experience in addition to printer cartridges. they have a wide selection of discounted electronics. cell phone accessories. cables. office supplies and more. Approval Requirements: Most businesses will get approved with only a DUNS# and EIN Number. Without a D-U-N-S Number you will be required to provide verifiable trade references. You will also need to request the credit line amount you want. If you plan on spending $100-$200 a month for your company's printing needs then you may want to request an $800-$1.000 line of credit for starters. Your credit limits will improve as you establish a good payment track record with them.,-
23,Staples,-,-,-,Dun & Bradstreet. Experian Business & Equifax Small Business,-,"Staples is an office products mega-retailer that sells: Office supplies and services. business machines. computers and related products. and office furniture. Online shopping and ordering are available or you can visit a store location. Approval Requirements: Staples will check your D&B. Experian Business & Equifax Small Business report for credit review. The amount of credit they will extend to your company is based on your company's established credit history. If there is no credit history or no business credit scores. you may need to provide a personal guarantee. They will also verify if your company is listed in 411 and require you to supply your EIN.

",-
22,Online Labels,-,-,-,Dun & Bradstreet,-,"OnlineLabels.com offers thousands of standard size and material configurations for blank sheeted labels. direct thermal and thermal transfer roll labels. as well as the ability to custom print labels. Approval Requirements: Company must be in business for 2 or more years and have established credit with other businesses. (Be able to provide trade references) You are also required to have an active business phone. fax and website.

",-
21,Quill Office Supplies,-,-,-,Dun & Bradstreet,-,"Quill sells office supplies. cleaning supplies. packing and shipping supplies. school supplies. printing supplies. and more. From filing and storage to hand held computers. Quill has a wide range of discounted top name brand products. Approval Requirements: You will need to place an initial order before you can be considered for a Net 30 account. If you have a D&B Paydex and Experian Intelliscore established you will probably get approved with your initial order. For new businesses with little to no credit history. you will most likely be put on a 90 day prepayment schedule. If you make an order every month for 90 days. they will more than likely extend a Net 30 account to your company. Although new businesses may start out with a smaller credit limit this will increase over time as you make timely invoice payments.

",-
20,Uline Shipping Supplies,-,-,-,Dun & Bradstreet,-,"Uline is the leading distributor of shipping. industrial. packing materials. and janitorial products. Almost all orders placed with Uline are shipped the same day. with no backorders. Approval Requirements: You will need to have a D-U-N-S Number before you apply for credit. Your Net 30 credit limit amount will depend on your business credit report and trade and bank references. You are required to supply at least 2 trade references and 1 bank reference. If you are a new business they may ask for additional financial documentation. If there is little to no credit history with D&B. you may be required to prepay your first few orders before they will set up a net 30 account under your business name.

",-
19,Halo Branded Solutions,-,-,-,N/A (can be used a a trade reference),-,"HALO Branded Solutions has 60 years of experience as a leading distributor of customized promotional products. With thousands of promotional product choices and customization options. HALO has developed a custom product configurator that will guide you through the entire customization process right on their website. Approval Requirements: Must fill out application online for credit using application in the link below. First order must total at least $1.000. They only pull credit in certain cases. but it is possible to get approved without a company credit check. This vendor does not report but you can use it as a trade reference on future credit applications.

",-
18,S. Walter Packaging,-,-,-,N/A (can be used a a trade reference),-,"The S. Walter Packaging company website has over 4.000 items of shopping bags. gift boxes. gift wrap. and other packaging accessories. It basically covers everything a company would need for retail packaging. This catalog they have is the largest national inventory of in-stock packaging products and is available for quick and easy shipping from one of their North American warehouses. Approval Requirements: They will check your business credit with D&B. If your company has little to no credit history. they look at your trade references. Having strong financials will also help your chances of being approved for a larger credit limit.

",-
17,New Lecture,-,-,-,-,-,-,-
16,4Imprint,-,-,-,Dun & Bradstreet,-,"4Imprint provides everything for promotional items for your business. Bags. pens. apparel. stationary. trade show signage. office & awards. drinkware. food & candy. apparel. etc. Approval Requirements: They will check your business credit with D&B. You will need to provide your D-U-N-S Number on the credit application. No personal guarantee is required.

",-
15,Home Depot Commercial Account,-,-,-,Dun & Bradstreet and Experian Business,-,"Home Depot is the world's largest retail provider or home and building supplies. Whether you remodeling your home office or purchasing new appliances and power tools. they have everything you need. You can shop online or at a physical location. Approval Requirements: Your business must be in operation for at least 3 years for Home Depot not to require a personal guarantor. If you have been in business for under 3 years. they will pull a personal credit report for approval. They also require an EIN number for your business to apply.

",-
14,Labor Ready,-,-,-,Dun & Bradstreet,-,"Labor Ready is a leading multi-national source of dependable labor for companies in a variety of industries. They put to work and enable their clients to achieve greater success in the workplace. Approval Requirements: You must be a valid business entity with an EIN number to be eligible for an online company account. Complete the form and you will receive an e-mail notification about your application within 2 business days. This is an easy vendor to get approved with and require no personal guarantor.

",-
13,Sherwin Williams,-,-,-,Dun & Bradstreet,-,"Sherwin Williams is a manufacturer of coatings for plastics. metal. and wood serving the automotive. aerospace. construction. industrial. and maintenance coating sectors. Approval Requirements: When you apply for credit they will pull both personal and business credit reports (Dun & Bradstreet) for credit approval. You can try to leave out your social security number on the application when you first submit to qualify on business credit alone. To apply visit any Sherwin Williams store location to obtain and submit a commercial credit application.

",-
12,Aramark Wearguard,-,-,-,N/A (Can use as a trade reference),-,"Aramark Wearguard provides work place uniforms. coats. pants. t-shirts. cleaning supplies. floor mats and much more. Approval Requirements: Minimum first purchase is $1.000 to qualify for a credit account. They will send you a credit application on your first order and will check your company's D&B business credit report for approval. No personal credit check or personal guarantor is required. Remember. to keep your credit line open with Aramark requires that your company purchase at least $1.000/year.

",-
11,Discount Tools,-,-,-,Dun & Bradstreet (upon request),-,"Discount Tools is an online source for industrial grade cutting tools. boring tools. reamers. routers. mills. slitting saws. vises. tool storage. and much more. Approval Requirements: To get approved for Net 30 credit terms requires that your company purchase 2-3 orders paid up front. Once you have made a few orders. you will have to contact them and request a Net 30 credit application. They verify the trade references you supply on the application and no personal or business credit check is conducted.

",-
10,Graybar Electric,-,-,-,Dun & Bradstreet & Experian Business,-,"Graybar has just about any electrical or communications and data product. component. or related supplies. Whether you have a lighting project. switchgear upgrade. a local or wide area network. or even a half-mile or electrical conduit. Graybar has it. Approval Requirements: To apply you will need to print out the provided application and fax it in. They will check your company's credit report with Dun & Bradstreet and Experian Business. They will require trade references as well. If your company has good business credit you will be able to open a credit account with no personal guarantor. A PG may be required if your a new business. They will extend up to $10.000 in credit with good business credit scores and reports.

",-
9,Interstate Batteries,-,-,-,N/A (May use as a trade reference),-,"Interstate Batteries has every battery for every need: All types of vehicles. cell phones. power tools. wheelchairs. camcorders. medical equipment. watches. radios. and much more. Approval Requirements: You will need to supply your company's EIN number on the online application when creating your account. You may need to supply trade references during the credit approval.

",-
8,Modern Plastics,-,-,-,N/A (May use as a trade reference),-,"Modern Plastics is a full-service distributor and custom fabricator offering a full range of plastic materials and accessories for all your company's engineering and construction needs. Approval Requirements: Complete the credit application provided on this page and fax it to 203-333-4625. You will need to supply your EIN and 3 trade references. They will check your company's D&B credit report and provide a credit decision in 24 hrs. No personal guarantor is required unless your company has no established credit.

",-
7,MSC Industrial Supply,-,-,-,Dun & Bradstreet,-,"MSC Industrial Supply is a national distributor of metalworking and maintenance. repair and operations (MRO) products. solutions and services for manufacturers. They help businesses increase productivity. efficiency and cost savings by leveraging technology. supply chain expertise and next-day delivery of more than 600.000 in-stock industrial products. Approval Requirements: To get approved for credit. your company will need to provide its EIN number along with trade references. They will review your company's business credit report with all three business credit reporting agencies. You will also need to supply your D-U-N-S Number on the application but no personal guarantor is required.

",-
6,Ted Thorsen,-,-,-,Dun & Bradstreet,-,"Ted Thorsen. LLC is an innovative provider of material handling and reusable packaging products for the dock and warehouse environment. From carts and trucks to bins and containers. they have it available for your company's use. Approval Requirements: An account for your business gets established when you place your first order. Open account terms of Net 30 days after shipment are extended to companies that are listed with Dun & Bradstreet and have a good rating. If your company does not have a Paydex score with D&B. you can provide them with the name and address of your company's bank along with two trade references to see if you qualify for credit.

",-
5,Reusable Transport Packaging,-,-,-,Dun & Bradstreet,-,"Reusable Transport Packaging supplies reusable. sustainable solutions for all types of shipping. storage and distribution applications. Their products are Eco-Friendly and engineered with Ergonomics in mind. Approval Requirements: Before applying for net 30 terms you will need to pay for your first order. They check your Dun & Bradstreet report so be sure you have established payment history reporting. In addition. be prepared to supply trade references and the name of your banking institution being used by the business.

",-
4,Copperfield,-,-,-,Experian Business,-,Copperfield is the nation's largest full-service distributor of health and chimney products. serving more than 10.000 customers in the U.S. and Canada. Approval Requirements: Your business must have an active Experian business credit report. If you call to apply over the phone with an active Experian Business file they will extend a $1.000 credit limit. If you are wanting more than $1.000 then you will need to complete the credit application and provide 4 trade references and 1 bank reference. An Experian Intelliscore of 70+ is highly recommended to get the highest credit approval.,-
3,United Rentals,-,-,-,Equifax Small Business,-,"United Rentals is the largest equipment rental company in the world. with an integrated network of more than 900 rental locations in 48 states and 10 Canadian provinces. Their customer base includes construction. industrial companies. utilities. municipalities. government agencies and independent contractors. Approval Requirements: Fill out the credit application on their website. They approve most businesses for credit terms and will check with either Equifax Small Business or Experian Business. Make sure you complete the application without your personal information and SS# as a personal guarantee isn't necessarily required. They will contact you if your submission will require a guarantor.

",-
2,REW Materials,-,-,-,Dun & Bradstreet & Experian Business,-,REW Materials is a company with many locations that distributes interior and exterior construction products. Products include acoustical products. gypsum wallboard. metal stud and trim. insulation. joint treatment products. fasteners. tools. and specialty items. Approval Requirements: To qualify you must have 4 trade references. 1 bank reference and have a contractor's license. A personal guarantor is required for this vendor,-
1,Enco Manufacturing Company,-,-,-,Dun & Bradstreet,-,Manufacturing machinery. cutting tools. and industrial supplies. Approval Requirements: To apply for credit you can either mail or fax in your completed credit application or complete a credit app online. There is no minimum order amount and no personal guarantor is required. During application you will need to supply trade references and EIN.,-
