id,lender_name,personal_credit_score,time_in_business,business_revenue,term_length,apr,strategy
20,Upstart ,Minimum 620,-,-,3 OR 5 years,8.16% – 27.99%,Lines Of Credit are great because you only pay back what you have used. The interest rate does tend to be a bit higher because there isn’t a specific date you have to pay it back in. You want to position yourself for this type of financing because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing.
19,Prosper ,640,-,-,three or five years,-,Lines Of Credit are great because you only pay back what you have used. The interest rate does tend to be a bit higher because there isn’t a specific date you have to pay it back in. You want to position yourself for this type of financing because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing.
18,Seek Capital ,680,3 years,$300.000,-,-,Lines Of Credit are great because you only pay back what you have used. The interest rate does tend to be a bit higher because there isn’t a specific date you have to pay it back in. You want to position yourself for this type of financing because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing.
17,Fora Financial ,Unknown,6 months,$5.000 in monthly credit and debit card sales,"""No maturity date (MCA) 6 - 15 months (STL)""",10% - 30% of the borrowing amount,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
16,LendingPoint ,Fair (600 – 680),-,-,24 – 48 months,9.99% – 30%,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
15,Accion ,575 (550 in some places),-,Must have sufficient cash flow to repay the loan,Varies by product,7% – 34% APR,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
14,Avant ,Minimum 580 (but 600 - 700 is typical),-,-,2 - 5 years,9.95% - 35.99%,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
13,Best Egg ,640,-,-,three – five years,unknown,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
12,Biz2Credit ,-,6 months ,-,3 – 36 months,-,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
11,Capify ,Unknown,12 months,At least $10K/month in gross sales,"""No maturity date (MCA) six to 15 months (STL)""",Unknown,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
10,Discover Personal Loans ,At least 660,-,-,three to seven years,6.99% – 24.99%,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
9,Everest Business Funding ,500,3 months,$4.000 per month,2 – 12 months,x1.2 – x1.5,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
8,Forward Financing ,500,3 months,$5.000 per month in sales,4 – 12 months,x1.3 – x1.5,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
7,Kiva U.S. ,-,-,-,6 to 36 months,0%,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
6,LendingClub Personal Loans ,Fair credit: min. score of 600,-,-,three OR five years,5.32% – 30.99%,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
5,Lendoor ,-,-,-,six months – three years,0% – 8%,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
4,PayPal Working Capital ,-,3 months,$20.000 annually for Premier accounts. $15.000 annually for Business accounts,Max. 18 months,Approx. x1.01 – x1.58,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
3,Rocket Loans ,640,-,-,3 or 5 years,5% – 23.9%,Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
2,SoFi Personal Loans ,SoFi Personal Loans ,-,-,two to seven years,"""Fixed: 5.99% – 16.24% (with autopay) Variable: 5.74% – 14.70% (with autopay)""",Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
1,World Business Lenders ,-,6 months,Unknown,3 – 36 months,"""x1.3 – x1.5 fixed rate (MCAs) Starts at 13% interest (loans)""",Revenue lending loans are great for short term needs. This loan usually has much higher interest rates and shorter terms. This is really the last option for your business if you need the money and you can not qualify for a term loan or SBA loan. Because they will place a UCC filing on your business which is a blanket lien on all of your assets if you default. Once you have a UCC filing it severely hampers your ability to get more business term or revenue lending financing. 
