,cc_name,min_credit_score,credit_bureau,debt_ratio,bankruptcy,credit_data,apr,misc_info,url
10,Best Western Mastercard,660,EQ.EX.TU but mainly EX,40.00%,Dismissed/descharged 1 day.,Prefer no more than one in 2 years,20.24% or 24.24% variable,No set age of credit history requiremen.ts,www.firstbankcard.com
11,First Premier Bank Mastercard,420,EQ.EX.TU,50%+,You can be approved prior to bankruptcy discharge as long as First Premier wasn't a part of the bankruptcy within 36 months,Past delinquencies have little impact. recent negative marks create a chance of being denied but can still be approved.,36.00%,Checking account required,www.premiercardoffer.net
12,Chase Sapphire Preferred,620,EX and EQ mainly. dependent on state,40.00%,auto declined if there is a bankruptcy in credit history,Individual to applicant but they prefer no negative marks within 5 years. .,16.99-23.99 variable,Must have a minimum of three accounts in good standing over the past 24 months.You cannot have another sapphire card open.You will have a better chance of approval if you have at least one other card with a $5.000 or higher limit.,www.chase.com
13,Total Visa Credit Card,400,EQ. EX. TU but mainly EX,50%+,Dismissed/descharged 1 day.,Past delinquencies have little impact.recent negative marks create a chance of being denied but can still be approved,29.99%,Checking account required,www.totalcardvisa.com
14,US Bank Harley-Davidson,620,EQ. EX. TU,36.00%,Auto decline if bankruptcy is on credit history within last 5 years,"They review last 5 years and ideally want no ""serious"" delinquencies within that time. No set policy.",15.49%-24.49% variable,No set age of credit history as long as you meet their general age requirements.,www.h-dvisa.com
15,Wells Fargo Cash Wise Visa,400,EX. TU,49.00%,10 years after discharge/dismissal,no set rule on number of delinquencies.One here or there has less impact than consistent delinquencies or patterns of late payments,0.00% introductory APR for 12 months. then 14.49% to 26.49% variable,you must have more than 3 years of credit history and they prefer you to have a current banking relationship with them.Wells fargo dows not have a limit to the number of credit cards you can have open with them.,www.wellsfargo.com
16,Bank of America cash Rewards,620,EX,30%,8-10 years post discharge/dismissal,Strongly impacts odds. You can be denied with delinquencies as old as 7 years.,14.49%-24.49% variable,The longer your credit history is positive the more likely you are for approval. They do however have rules pertaining to how many Bank of America credit card accounts you can be approved for at one time. They follow the 2/3/4 rule: 2 cards per 2 rolling,www.bankofamerica.com
17,American Express Blue Cash Everyday,600,EQ. EX and TU,35% averaged over 6 months,Auto decline if bankruptcy is on credit report.,Auto decline if AMEX is involved in the delinquency unless paid in full. Ideally no negative marks within 2-7 years but no set rule.,14.49%-25.49%,Amex will automatically decline your application if you've applied/opened more than 2 credit cards within last 90days. You can have up to 5 AMEX credit cards.,www.americanexpress.com
18,Credit One Bank,460,EQ. EX. TU but mainly EX,50%+,Dismissed/descharged 1 day.,Past delinquencies have little impact. Recent negative marks creat a chance of being denied.,17.49% to 25.49% variable,Ideally over three years of credit history but applicants with brand new credit have been approved.Multiple Credit One account are Ok.,www.creditonebank.com
19,Capital one Venture One Rewards,680,EQ. EX and TU,40.00%,minimum of two years after bankruptcy discharge date with current credit in the excellent range.,Auto decline if past due capital one credit card account. is over credit line on a capital one credit card. or capital one credit card that charged off within the past year. Never been 60 days late on a payment.,0% introductory APR for the first 12 months. then 13.49%. 19.49% or 23.49%,They don't require a specific amount of accounts but there are limitations to the amount of capital one account you may have open at 1 time.,www.capitalone.com
20,Citi Double Cash,620,EQ.EX split 90% of the time and TU 10%,40.00%,auto delcine until at least 7 years after bankruptcy discharge,Individialized to applicant but you can be denied with as little as one open collection on your report.,14.99%-24.99%,You must have at least 1 year of credit history. There is no limit to the amount of credit cards you can have with Citibank. You can only apply for one Citi personal card every 8 days. You can apply for no more than two Citi personal cards every 65 days.,www.citi.com
21,Credit one Bank,520,EQ. EX. TU but mainly EX,50%+,Dismissed/descharged 1 day.,Past delinquencies have little impact. Recent negative marks creat a chance of being denied but can still be approved.,17.49 to 25.49% variable,Ideally over three years of credit history but applicants with brand new credit have been approved.Multiple Credit One account are Ok.,www.creditonebank.com
22,Capital One Venture,680,EQ. EX and TU,40.00%,minimum of two years after bankruptcy discharge date with current credit in the excellent range.,Auto decline if past due capital one credit card account. is over credit line on a capital one credit card. or capital one credit card that charged off within the past year. Never been 60 days late on a payment.,14.49-24.49% variable,You will be denied if yiu exceed over 2 capital One accounts at one time or have already applied to 2 capital one accounts within 30 days. To remain in the Average range you must have not defaulted on a loan within 5 years.,www.capitalone.com
23,Discover it Student Cash Back,620,EQ. EX and TU,43.00%,8 months - 2 years after discharge depending on creditworthiness.,No delinquency in the last year but the look at up to 7 years.,14.49%-23.49% .,This card is best for those with less 3 years credit history.,www.discover.com
24,U.S. Bank Cash 365 AMEX,520,EQ. EX and TU,36.00%,Discharge/dismissed 5 years,"They review last 5 years and ideally want no ""serious"" delinquencies within that time. No set policy.",15.49%to 24.49% variable,You must be a pre-existing U.S. Bank customer for a least 35 days to be eligible. Credit history of at least 2 years is recommended. There is not a maximum number of U.S. bank credit cards that you may have ay one time.,www.usbank.com
25,Barclays Ring,680,TU,35.00%,Auto dellined if there is a bankruptcy in ctedit history,No negative marks within last 12 months,10.49% variable,Applicants with as little as 1 year of history have been approved.,www.barclaycardus.com
26,Barclays Card Visa y,620,TU,35.00%,auto declined if there is a bankruptcy in credit history,No negative marks within last 12 months,15.49%. 21.49% or 28.49%,Applicants with as little as 1 year of history have been approved.,www.batclaycardus.com
27,Bank of America Travel Rewards,740,EX,30%,8-10 years post discharge/dismissal,Strongly impacts odds. You can be denied with delinquencies as old as 7 years.,15.99% to 23.99% variable,AThe longer your credit history is positive the more likely you are for approval. They do however have rules pertaining to how many Bank of America credit card accounts you can be approved for at one time. They follow the 2/3/4 rule: 2 cards per 2 rolling,www.bankofamerica.com
28,Indigo Platinum Master Card,500,EQ. EX. Tu but mainly EQ,50%+,Dismissed/descharged 1 day.,Past delinquencies have little impact. Recent negative marks creat a chance of being denied but can still be approved.,23.90%,New Credit accounts are ok. Valid social. physical address. and IP address in the U>S. required.,www.indigocard.com
29,wells Fargo Cash Back College,Limited Credit OK,Ex. TU,49.00%,10 years after discharge/dismissal,no set rule on number of delinquencies.One here or there has less impact than consistent delinquencies or patterns of late payments,12.65% to 22.65%,you must have more than 3 years of credit history and they prefer you to have a current banking relationship with them.Wells fargo dows not have a limit to the number of credit cards you can have open with them.,www.personalcreditcards1.com
30,US Bank Harley-Davidson,660,EQ. EX. TU,36.00%,Auto decline if bankruptcy on credit history within ast 5 years,"They review last 5 years and ideally want no ""serious"" delinquencies within that time. No set policy.",15.49%-24.49% variable,No set age of credit as long as you meet their general age requirements,www.h-dvisa.com
31,Barclays Arrival,620,TU,35.00%,auto declined if there is a bankruptcy in credit history,No negative marks within last 12 months,17.49%.21.49% or 24.49% variable.,Applicants with as little as 1 year of history have been approved.,www.barclaycardus.com
32,American Express Blue,600,EQ. EX and TU,35% averaged over 6 months,Auto declined if there is a bankruptcy in credit report,Auto decline if AMEX is involved in the delinquency unless paid in full. Ideally no negative marks within 2-7 years but no set rule.,16.74%. 19.74% or 21.74%,Amex will automatically decline your application if you've applied/opened more than 2 credit cards within last 90days. You can have up to 5 AMEX credit cards.,www.americanexpress.com
33,Capital One Platinum,550,EQ. EX and TU,40.00%,Three Months,Auto decline if past due capital one credit card account. is over credit line on a capital one credit card. or capital one credit card that charged off within the past year. Never been 60 days late on a payment.,22.99%-26.99% variable,You will be denied if yiu exceed over 2 capital One accounts at one time or have already applied to 2 capital one accounts within 30 days. To remain in the Average range you must have not defaulted on a loan within 5 years.,www.capitalone.com
34,First access visa card,400,EQ,50%+,Dismissed/descharged 1 day.,Past delinquencies have little impact. recent negative marks creat a chance of being denied.,29.99%,Checking account required,www.firstaccesscard.com
35,Capital One Savor Dining Rewards,680,EQ.EX and TU,40.00%,minimum of two years after bankruptcy discharge date with current credit in the excellent range.,Auto decline if past due capital one credit card account. is over credit line on a capital one credit card. or capital one credit card that charged off within the past year. Never been 60 days late on a payment.,)% APR first 9 months. then 15.99%. 20.99% or 24.74% variable,You will be denied if yiu exceed over 2 capital One accounts at one time or have already applied to 2 capital one accounts within 30 days. To remain in the Average range you must have not defaulted on a loan within 5 years.,www.capitalone.com
36,Capital One Journey Student Rewards,600,EQ.EX and TU,40.00%,Minimum of two years after bankruptcy discharge date with current credit in the Average range.,Auto decline if past due capital one credit card account. is over credit line on a capital one credit card. or capital one credit card that charged off within the past year. Never been 60 days late on a payment.,22.99%-26.99% variable,You will be denied if yiu exceed over 2 capital One accounts at one time or have already applied to 2 capital one accounts within 30 days. To remain in the Average range you must have not defaulted on a loan within 5 years.,www.capitalone.com
37,Chase State,620,EQ.EX and TU,40.00%,auto declined if there is a bankruptcy in credit history,Individual to applicant but they prefer no negative marks within 5 years,0% APR for 15 months from account opening after that 16.49%-25.24% variable,Must have a minimum of three accounts in good standing over the past 24 months,www.chase.com
38,Citi Thank You Preferred,660,EQ. EX split 90% of the time and TU 10%,40.00%,Auto decline until at least 7 years after bankruptcy discharge.,Individialized to applicant but you can be denied with as little as one open collection on your report.,0% intro APRon purchases and balance transfers for 15 months; after that the variable APR will be 14.99%-24.99%,You must have at least 1 year of credit history. There is no limit to the amount of credit cards you can have with Citibank. You can only apply for one Citi personal card every 8 days. You can apply for no more than two Citi personal cards every 65 days.,www.citi.com
39,US Bank Cash + Visa Signature,680,EQ. EX and TU,36.00%,Discharge/dismissed 5 years,"They review last 5 years and ideally want no ""serious"" delinquencies within that time. No set policy.",15.49% to 24.49% variable,You must be a pre-existing U.S. Bank customer for a least 35 days to be eligible. Credit history of at least 2 years is recommended. There is not a maximum number of U.S. bank credit cards that you may have ay one time.,www.usbank.com
40,American express blue cash preferred,660,EQ. EX and TU,35% averaged over 6 months,Auto decline if bankruptcy is on credit report.,Auto decline if AMEX is involved in the delinquency unless paid in full. Ideally no negative marks within 2-7 years but no set rule.,0% on Purchase and balance Tranasfers for 12 months then 14.49%-25.49% variable,Amex will automatically decline your application if you've applied/opened more than 2 credit cards within last 90days. You can have up to 5 AMEX credit cards.,www.americanexpress.com
41,Citi Diamond Preferred,600,EQ. EX split 90% of the time and TU 10%,40.00%,Auto decline until at least 7 years after bankruptcy discharge.,Individialized to applicant but you can be denied with as little as one open collection on your report.,Intro Apr on Purchases for 12 months; after that the variable APR will be 14.49%-24.49%,You must have at least 1 year of credit history. There is no limit to the amount of credit cards you can have with Citibank. You can only apply for one Citi personal card every 8 days. You can apply for no more than two Citi personal cards every 65 days.,www.citi.com
42,U.S Bank Altitide Reserve Visa Infinite,720,EQ. EX and TU,36.00%,Discharge/dismissed 5 years,"They review last 5 years and ideally want no ""serious"" delinquencies within that time. No set policy.",17.24 variable,You must be a pre-existing U.S. Bank customer for a least 35 days to be eligible. Credit history of at least 2 years is recommended. There is not a maximum number of U.S. bank credit cards that you may have ay one time.,www.usbank.com
43,U.S Bank Flex Perks Travel Rewards Visa Signature,700,EQ. EX and TU,36.00%,Discharge/dismissed 5 years,"They review last 5 years and ideally want no ""serious"" delinquencies within that time. No set policy.",15.49% to 25.49% variable,You must be a pre-existing U.S. Bank customer for a least 35 days to be eligible. Credit history of at least 2 years is recommended. There is not a maximum number of U.S. bank credit cards that you may have ay one time.,www.usbank.com
44,Chase Sapphire Reserve,620,40.00%,auto declined if there is a bankruptcy in credit history,Individual to aplicant but they prefer no negative marks within 5 years,17.49%-24.49% variable .,Must have a minimum of three active accounts in good standing over the past 24 months.,-,www.chase.com
45,First Premier Bank Gold Credit Card,420,50%+,You can be approved prior to bankruptcy discharge as long as First Premier wasn't a part of the bankruptcy within 36 months,Past delinquencies have little ompact. recent negative marks creat a chance of being denied but can still be approved.,36.00%,Checking account required,-,www.premiercardoffer.net
46,First Premier Bank Credit Card,420,50%+,You can be approved prior to bankruptcy discharge as long as First Premier wasn't a part of the bankruptcy within 36 months,Past delinquencies have little ompact. recent negative marks creat a chance of being denied but can still be approved.,36.00%,Checking account required,-,www.premiercardoffer.net
