,cc_name,credit_bureau,min_credit_score,debt_ratio,bankruptcy,credit_data,apr,strategy,max_inquiries,url,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25
10,Chase Ink Cash,EX. EQ. Transunion,They claim no minimum but the lowest I've seen approved is 600.,40%,No approval while bankruptcy is on credit report.,No Negative marks within 5 years for best odds.,0% intro APR for 12 month from account opening on purchases and balance transfers. Same page link to pricing and terms after that. 14.74%-20.74% variable APR.,No age of credit limits if you meet their general age requirements. If you've opened 5 credit card accounts in the past 24 months. your Chase application will not be approved.,No more than 5 in 24 months and 30 days between chase Ink apps.,https://www.chase.com/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Bank of America Business Advantage Travel Rewards World MasterCard.,EX. EQ. Transunion,680,43%,No approval while bankruptcy is on credit report.,Strongly impacts odds. You can be denied with delinquencies as old as 7 years.,0% APR for 9 billing cycles then 12.74% to 22.74% variable APR,No credit age requirements as long as you meet the general age requirements. They'll only approve you for at most cards per rolling 2 months. three cards per rolling 12 months. and four cards per rolling 24 months.,Not a major factor in approval.,https://www.bankofamerica.com,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Universal Premium Fleetcard MasterCard,EX. EQ (mainly EX),520,No approval while bankruptcy is on credit report.,Dismissed/discharged 1 day.,Not set policy on number of delinquencies.,0% APR (paid in full) or 23.99% if not paid in full at biulling statement.,Not a major factor in approval.,https://www.fleetcardsusa.com,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,SanTrust Small Business Credit Card,EQ,640,35%,No approval while bankruptcy is on credit report.,3 years of no delinqencies and minimal negative marks beyond 3 years.,0% intro APR for 12 months then 13.74% - 20.74% variable APR based on credit worthiness.,3 years of good credit history and minimal to no delinqencies.,No more than 3 inquiries in past 6 months.,https://www.suntrust.com,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,BMO Harris Bank Business Platinum MasterCard,Transunion,640,36%,-,Minimal delinqency 1 or less in last three years preferred.,0% APR for 9 months then 11.49%. 16.49% or 21.49% variable APRbased on yourcreditworhtiness.,No age of credit requirements. but ideally 3 years. Card is only available to applicant in AZ. FL.IN.IL.KN.MI.MI and WI.,Not a major factor in approval.,https://www.bmoharris.com,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,AMEX Starwood Preferred Guest Business Credit Card.,EX. EQ. Transunion (mainly EX),They claim no minimum but the lowest I've seen approved is 620.,35%,No approval while bankruptcy is on credit report.,Auto decline if AMEX is involved in the delinquency unless paid in full. Ideally no negative marks within 2-7 years but no set rule.,16.74% to 20.74% variable APR.,Amex will autometically decline your application is you've applied/opend more then 2 credit card within last 90 days. You can have up to 5 AMEX credit crads business and personal combined.,No more than 3 within 6 months.,https://www.americanexpress.com/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Sputhwest Rapid Rewards Premier Business Credit Card by Chase.,EX. EQ. Transunion,640,45%,No approval while bankruptcy is on credit report.,No late payments. delinquencies. or chargeoffs within 2 years.,17.49% to 24.49% variable APR. based on your creditworthiness.,Must have a minimum of three accounts in good standing over the past 24 months.,No more than 5 inquiries in past 24 months.,https://www.chase.com,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Amex Gold,EX. EQ. Transunion. but primarily EX. EQ,680,35%,Auto decline if a bankruptcy is on credit report.,Auto decline if AMEX is involved in the delinquency unless paid in full. Ideally no negative marks within 2 years.,$0 introductory annual fee for the first year. then $175.,-,No more than 3 within 6 months.,https://businesscards,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Amex Green Card,EX. EQ. Transunion. but primarily EX. EQ,610,35%,Auto decline if a bankruptcy is on credit report.,Auto decline if AMEX is involved in the delinquency unless paid in full. Ideally no negative marks within 2 years.,$0 first year then $95 annually,-,No more than 3 within 6 months,https://www.americanexpress.com/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,Platinum Delta SkyMiles Business Credit Card from American Express.,EX. EQ. Transunion (mainly EX),They claim no minimum but the lowest I've seen approved is 620.,35%,No approval while bankruptcy is on credit report.,Auto decline if AMEX is involved in the delinquency unless paid in full. Ideally no negative marks within 2-7 years but no set rule.,16.74%. 18.74% or 20.74% variable APR. based on your creditworthiness.,Amex will autometically decline your application is you've applied/opend more then 2 credit card within last 90 days. You can have up to 5 AMEX credit crads business and personal combined.,No more then 3 within 6 months.,https://www.americanexpress.com/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
